Position,Mailing Address (Zip),Type of Business (Exhibitor/Vendor),Please list the specialty crop(s) that you produce or are contained in your product(s).,How long has your company been in business?,Does your company currently have a trade relationship with a buyer?,Please list the products that you will be promoting at the trade show. ,Do you use any special production practices?,Please specify other production practices.,The total volume you produce weekly (and sell to outlets): SPRING,The total volume you produce weekly (and sell to outlets): SUMMER,The total volume you produce weekly (and sell to outlets): FALL,The total volume you produce weekly (and sell to outlets): WINTER,The volume you are capable of selling to new wholesale accounts: SPRING,The volume you are capable of selling to new wholesale accounts: SUMMER,The volume you are capable of selling to new wholesale accounts: FALL,The volume you are capable of selling to new wholesale accounts: WINTER,To what types of groups do you desire to wholesale your products?,Approximately what percentage of your products do you currently sell wholesale? ,  Do you have a goal for what percentage of your products you would like to sell wholesale?  
Founder/Farmer,02806,Non-Massachusetts Specialty Crop Farm,"Lavender,Herbs,Honey",4 years,No,"Lavender,Catnip,Honey Gift Kits, LavenderGift Kits, Beeswax wraps, Catnip  bundles, Wrapped Herbal Smudgesticks, Herbal Farm Teas","Focus on heirloom varieties or heritage breeds,Other","No pesticides, sustainable production practices, local coastal sourcing",Less than a pallet,Less than a pallet,Less than a pallet,Less than a pallet,Less than a pallet,Less than a pallet,Less than a pallet,Less than a pallet,"Retail Grocer,Restaurant,Hotel,Food Processor or Value-Added Producer,Other",20,75
Owner / Head Potions Master,02021,Specialty Crop Value-Added Producer (50% or more specialty crop),Shrubs or drinking vinegar,Since April 2016,"Yes, Associated Buyers",Shrubs,Not Applicable,,Less than a pallet,Less than a pallet,Less than a pallet,Less than a pallet,1-3 pallets,1-3 pallets,1-3 pallets,1-3 pallets,"Distributor,Wholesale Grocer,Retail Grocer,Institution (not including schools),School,Non-profit,Restaurant,Hotel",25,75
Owner,02703,Massachusetts Specialty Crop Farm,Microgreens and Wheatgrqass,6,yes,Microgreens,"Organic Certification,GAP Certification",,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Distributor,Wholesale Grocer,Retail Grocer,Restaurant,Hotel,Food Processor or Value-Added Producer",75 %,90%
Sales & Marketing,01301,Specialty Crop Value-Added Producer (50% or more specialty crop),"cabbage, beet, carrot, pepper, cauliflower, cucumber, garlic, tomato, tomatillo, leek, dill, turmeric, ginger, cilantro",18 years,yes,"Organic Dill Pickles, Organic Sauerkraut, Organic Kimchi, Organic Red Cabbage, Organic Ginger Carrots, Organic Tomatillo Hot Sauce, Organic Garlic Dills, Organic Beets, Organic Garlic Kraut, Organic Beet Kvass, Organic Turmeric Kraut, Organic Spicy Dills, Organic Red Pepper Hot Sauce, small batch flavors!",Organic Certification,,3-5 pallets,5-10 pallets,5-10 pallets,3-5 pallets,3-5 pallets,3-5 pallets,3-5 pallets,3-5 pallets,"Distributor,Wholesale Grocer,Retail Grocer,Institution (not including schools),School,Non-profit,Restaurant,Hotel",90%,90%
president,02568,Massachusetts Specialty Crop Farm,"mushrooms, assorted species",since 2018,no,"fresh and dried mushrooms, mushroom tea, coffee, cacao, salts, grinders, makeup, cosmetics, soaps, candles",Not Applicable,,Less than a pallet,Less than a pallet,Less than a pallet,Less than a pallet,1-3 pallets,1-3 pallets,1-3 pallets,1-3 pallets,"Distributor,Wholesale Grocer,Retail Grocer,Institution (not including schools),School,Non-profit,Restaurant,Hotel,Food Processor or Value-Added Producer,Other",none yet,open to suggestion
owner,01035,Massachusetts Specialty Crop Farm,"Representing Massachusetts grown specialty mushrooms through a crop block grant received for 2019. Not producing any products myself but will be promoting and giving out information material on MAss grown specialty mushrooms, where to find them, how to use them, producers in the area...",6 years,yes,"Massachusetts grown specialty products,,mushroom grow kits",Organic Certification,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Other,0%,0%
CEO,02760,Specialty Crop Value-Added Producer (50% or more specialty crop),Teas and other ,3,yes,7 kind all natural teas and pickled ginger.,Other,all natural,1-3 pallets,1-3 pallets,1-3 pallets,Less than a pallet,Less than a pallet,1-3 pallets,1-3 pallets,1-3 pallets,"Distributor,Wholesale Grocer,Retail Grocer,Institution (not including schools),School,Restaurant,Hotel,Food Processor or Value-Added Producer",99%,no
owner,01351,Massachusetts Specialty Crop Farm,Organic Produce of many varieties.  We can provide a detailed list if needed.,28 years,yes,Organic produce that is grown in soil here in MA!,"Organic Certification,GAP Certification,Focus on heirloom varieties or heritage breeds,Other",We grow our crops in soil!,10-20 pallets,More than 20 pallets,More than 20 pallets,More than 20 pallets,1-3 pallets,10-20 pallets,More than 20 pallets,10-20 pallets,"Distributor,Wholesale Grocer,Retail Grocer,Institution (not including schools),School,Non-profit,Restaurant,Hotel,Food Processor or Value-Added Producer,Other",35%,up to 50%
Owner,03281,Specialty Crop Value-Added Producer (50% or more specialty crop),"Cabbage, carrots, table beets, citrus, parsley, garlic, ginger, turnip, rutabaga, horseradish, cumin, onion, turmeric. ",6 years,No,"Mild & spicy kimchi,Zesty Ruby Red ,Mama's Kraut ,Silly Dilly Carrot ,Just Kraut",Organic Certification,,"1-3 pallets,3-5 pallets",1-3 pallets,1-3 pallets,1-3 pallets,1-3 pallets,3-5 pallets,3-5 pallets,3-5 pallets,"Institution (not including schools),School,Restaurant,Hotel",95%,Currently happy selling 95% of product wholesale 
owner,02909,Specialty Crop Value-Added Producer (50% or more specialty crop),"sauerkraut made with cabbage, beets, leek, radish, peppers, onions ",since 2015,yes,"Caraway & Cabbage Sauerkraut,Beet-Kraut,Chipotle-Kraut,Kraut-Chi",Organic Certification,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,"Distributor,Wholesale Grocer,Retail Grocer,Institution (not including schools),School,Non-profit,Restaurant,Hotel",70,90
