Mailing Address (Zip Code),Latitude,Longitude,Does your company currently have a trade relationship with a buyer?,Please list the specialty crop(s) that you produce or are contained in your product(s).,Spring Capable Volume,Summer Capable Volume,Fall Capable Volume,Winter Capable Volume,Approximately what percentage of your products do you currently sell wholesale?,Do you have a goal for what percentage of your products you would like to sell wholesale?,Percent Change in Desired Wholesaling
2806,41.747,-71.32,no,lavender?herbs?honey,0.5,0.5,0.5,0.5,20,75,55
2021,42.167,-71.134,yes,shrubs?drinking vinegar,2,2,2,2,25,75,50
2703,41.928,-71.315,yes,microgreens?wheatgqass,Not Applicable,Not Applicable,Not Applicable,Not Applicable,75,90,15
1301,42.606,-72.601,yes,cabbage?beet?carrot?pepper?cauliflower?cucumber?garlic?tomato?tomatillo?leek?dill?turmeric?ginger?cilantro,4,4,4,4,90,90,0
2568,41.451,-70.609,no,mushrooms?assorted species,2,2,2,2,Not Applicable,Not Applicable,Not Applicable
1035,42.355,-72.573,yes,mushrooms,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0,0,0
2760,41.975,-71.331,yes,teas?other,0.5,2,2,2,99,Not Applicable,Not Applicable
1351,42.535,-72.525,yes,many,2,15,21,15,35,50,15
3281,43.081,-71.723,no,cabbage?carrots?table beets?citrus?parsley?garlic?ginger?turnip?rutabaga?horseradish?cumin?onion?turmeric,2,4,4,4,95,95,0
2909,41.819,-71.448,yes,cabbage sauerkraut?beets?leek?radish?peppers?onions,Not Applicable,Not Applicable,Not Applicable,Not Applicable,70,90,20
2114,42.362,-71.068,no,organic produce,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2054,42.166,-71.362,yes,green and red leaf lettuce?romaine?kale?spinach?rainbow chard,0.5,0.5,0.5,0.5,0,20,20
5701,43.617,-72.963,yes,maple syrup,2,2,2,2,30,40,10
1373,42.473,-72.625,yes,mushrooms,4,4,4,4,50,85,35
1844,42.73,-71.179,yes,rhubarb?peppers (hot and sweet)?pumpkins?kale?collards?cucumber?eggplant ?summer squash?winter squash?swiss chard?kohlrabi?leek?tomato?lettuce?romaine hearts,4,21,7.5,Not Applicable,90,90,0
1523,42.473,-71.679,yes,edible loufa?maxixie?jilo?chinsaga?taioba?lalu?multi-colored amaranth?chipilin?Asian Mustard?African corn?baby bok choy?pumpkin vines?purslane?pea tendrils?Brazillian squash?bitter Melon?Gongura?Bottle Gourd,0.5,4,2,Not Applicable,20,Not Applicable,Not Applicable
2118,42.339,-71.073,yes,lettuces?herbs?brassicas?small root vegetables,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2131,42.285,-71.131,no,microgreens?edible flowers?coffee plants?curry leaf plants,Not Applicable,Not Applicable,Not Applicable,Not Applicable,25,25,0
1375,42.45,-72.563,yes,organic lettuce?salad greens?heirloom tomatoes?onions?eggplant?peppers?radicchio?herbs?kale?cabbage?broccolini?zucchini?summer squash?cucumbers?fava beans?celery?fennel?carrots?beets?turnips?radishes?leeks?scallions?Sriracha?Salsa,7.5,7.5,7.5,2,100,100,0
1754,42.431,-71.456,no,fruits?vegetables,7.5,15,4,0.5,50,50,0
1921,42.678,-71.008,no,herbs?hops?nettle?lemon balm?lavender?echinacea?beebalm?hyssop?parsley?rosemary?basil?mints?sage?others herbs?flowers?carnation?chrysanthemum?gladiolus?iris?lily?snapdragon?tulip,0.5,0.5,0.5,0.5,50,100,50
1342,42.542,-72.609,yes,vegetables?herbs?plants,21,21,21,21,70,70,0
2494,42.298,-71.232,yes,NA[Marketing Co-op],21,21,21,21,80,80,0
2917,41.894,-71.516,yes,herbal tea?dried culinary herbs,2,2,2,2,45,75,30
1035,42.355,-72.573,yes,heirloom tomatoes,4,15,15,4,95,99,4
1886,42.592,-71.438,yes,mushrooms,2,2,2,2,100,100,0
1002,42.378,-72.503,no,flowers?fresh and dried flowers?edible flowers?dye flowers,0.5,2,2,Not Applicable,15,Not Applicable,Not Applicable
1852,42.634,-71.298,no,NA[Food Access Facilitator],Not Applicable,Not Applicable,Not Applicable,Not Applicable,10,Not Applicable,Not Applicable
1915,42.561,-70.876,yes,California almonds,0.5,0.5,0.5,0.5,40,65,25
2715,41.812,-71.136,no,vegetables?tomatoes?cucumbers?greens?squash?peppers?sweet corn?potatoes?onions?garlic?carrots?more vegtables?fruits?berries?herbs?eggs,2,21,21,2,Not Applicable,Not Applicable,Not Applicable
2130,42.31,-71.112,no,coffee beans,0.5,0.5,0.5,0.5,0.5,60,60
1921,42.678,-71.008,yes,services,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2126,42.272,-71.094,no,hot peppers?carrots?onions?garlic,0.5,0.5,0.5,0.5,Not Applicable,50,Not Applicable
1035,42.355,-72.573,yes,vegetable?fruit?herbs?garlic?leek?sweet potatoes?eggplant?fennel?tomatoes,4,4,4,Not Applicable,30,60,30
